id,name,gender,age,major,score,grade
S001,Alice,F,19,CS,88,A
S002,Bob,M,20,CS,72,B
S003,Cara,F,18,Art,95,A
S004,Dan,M,21,Art,60,C
S005,Eve,F,19,Phy,78,B
S006,Finn,M,20,CS,85,A
S007,Gina,F,18,Art,90,A
S008,Hank,M,22,Phy,55,D
S009,Iris,F,19,CS,92,A
S010,Jack,M,20,Art,68,C
S011,Kate,F,21,Phy,82,B
S012,Leo,M,18,CS,76,B
S013,Mona,F,20,Art,88,A
S014,Noah,M,19,Phy,71,B
S015,Olive,F,22,CS,95,A
S016,Paul,M,18,Art,58,D
S017,Quinn,F,20,Phy,84,B
S018,Rose,F,19,CS,80,B
S019,Sam,M,21,Art,66,C
S020,Tara,F,18,Phy,91,A
